model,scope,hdd65,in.state,HDD65_x_UA_per_area,ach50_numeric,calculated_shd,wall_area_ft2,net_wall_area_ft2,UA_per_area,duct_leakage_frac,in.duct_location,r_floor,in.geometry_building_type_recs,in.hvac_heating_type_and_fuel,floor_area_m2,in.insulation_wall,ceil_area_ft2,in.geometry_wall_exterior_finish,in.vintage,in.insulation_roof,year_built_numeric,win_area_ft2,in.insulation_ceiling,r_ceiling,in.geometry_attic_type,r_roof,in.windows,r_rim_joist,in.geometry_wall_type,in.roof_material,UA_total,u_win_btu,r_wall,r_slab,r_foundation_wall,in.hvac_has_ducts,is_very_cold
catboost,global,0.3765735072531344,0.25388322032877525,0.238219727560418,0.20413860143940743,0.14535423087129762,0.10068050423481704,0.0933376747048852,0.07908673264050553,0.07177047558525625,0.06790408476067901,0.05068229254704326,0.0485867183018844,0.04088730820423362,0.03852893008548991,0.0350445504459665,0.03304693892786868,0.03167955864279642,0.026060916931096283,0.016286186000678823,0.015853013659448658,0.01532591835686667,0.010194865545352729,0.009517567068223275,0.008703044676304296,0.008059686344116685,0.00749125272192594,0.007209473454470949,0.004793361696230987,0.003505708018441119,0.0034220455206992813,0.0032438471213897513,0.0030838067214690834,0.00300620767353849,0.0028671619442645967,0.0,0.0
catboost,zone_Cold_and_Very_Cold,0.04530951489428395,0.08822523239499257,0.14327352316725572,0.20571821253851807,0.04732692284715451,0.07512486963450743,0.0632493782810101,0.01567545822772671,0.0398678798861119,0.07461359039474273,0.04276050006557779,0.027524376377752662,0.03643013008130616,0.037191167991324624,0.01278661158242094,0.02580481424312569,0.020796704689761095,0.03254554669001194,0.009651480298098362,0.019942397131947377,0.004667080776295884,0.0036547905038899157,0.004698864884304643,0.007916886961132252,0.009254850305795287,0.010940842222553768,0.015458441287072227,0.011750747529336768,0.0011862349274830012,0.01083053722037888,0.003777879435797059,0.0028813656382884684,0.010573100187856458,0.009493890227661592,0.0007638921397926415,0.0014263773509566977
catboost,zone_Hot-Dry,0.4105114078437071,0.08065434612083247,0.20699200313262545,0.18678636285131384,0.04308558009312704,0.15642503953126688,0.07894266739415,0.11024858931649041,0.025255443931588246,0.08309935707805914,0.03295115391558574,0.09233505756303365,0.059744375723008177,0.0678155484728717,0.035224580296550206,0.05304881674844703,0.06077202504840114,0.013995922571114741,0.024624573302257195,0.022834834692192368,0.011697796125466111,0.021281753597289513,0.005778459760081302,0.006930671556235099,0.04241619970198975,0.005992900167503019,1.127337648133603e-05,0.007985697121585507,0.007643802366226747,0.02957815950884376,0.005922451690991918,0.0524312650473529,0.0003836243605341786,1.0231993863027078e-05,0.0030872722586299368,0.0
catboost,zone_Hot-Humid,0.3198219549420383,0.15973071058944505,0.29491895186795625,0.2281558853995899,0.022842212653558572,0.14902164067655807,0.0665619264032064,0.08742999773677754,0.04634221175483935,0.056632992223945355,0.04259918183674016,0.08029541925377004,0.04572071579513908,0.04397893551392175,0.02186486366719958,0.06608494058792595,0.034955221266510836,0.021592728962098063,0.01356592204655467,0.05542627119148863,0.021009513614311158,0.012756287043460645,0.011941974371706271,0.02041809677930635,0.020609032739105342,0.013388251032640412,0.0004759049892546625,0.056178074318398316,0.005316584281174563,0.024181665168191636,0.003416640988241777,0.00237571211668613,0.005271728991615926,0.0003334398097280314,9.422217343590536e-05,0.0
catboost,zone_Marine,0.29087110942593797,0.3842405204994791,0.11217240052781183,0.20323159726051895,0.10171362929419178,0.15182654586723046,0.07849379741705108,0.10164462638893293,0.06712454957026527,0.11009292145679393,0.037904441182966236,0.10252403658054461,0.05273394099283982,0.05370528219246087,0.014920813524539793,0.03143591554119389,0.04608248078726267,0.011836158699178003,0.015846112569511565,0.02951564289811742,0.0176284823481377,0.006155859049499735,0.014338768694029986,0.0058973569277168654,0.036189680492843025,0.012955466130686934,0.0008308032676441274,0.005346513289165777,0.0042936528409267824,0.036668051042161816,0.005669769810850324,0.05066333596235455,0.006650545520115786,0.0006199895251067662,0.0013572890944233114,0.0
catboost,zone_Mixed-Dry,0.0731625260869718,0.09635775945412381,0.14336722199365254,0.16212970873672888,0.08666899937097991,0.06499842857530115,0.08255261393700375,0.045364073341727866,0.06366979848868792,0.08235781833015698,0.02438711538016881,0.07721004565574897,0.021332596155015773,0.042186354026417426,0.05298700971029943,0.029699704987210737,0.012200522597288906,0.024343909185221436,0.008762905012153818,0.0123577893766245,0.011627214999985204,0.009582909174649733,0.007137450834948073,0.005634268240809929,0.01220901407402113,0.006100072431815677,3.093163270860544e-05,0.01627779094286933,0.013282906481117362,0.018279048904037268,0.015559204716782656,0.04139659595640127,0.0010088339216408864,2.2160867629660142e-05,0.003320691308841022,0.0
catboost,zone_Mixed-Humid,0.13435228449004763,0.07645732543446003,0.14050204966027358,0.2285358216029211,0.04608041548243088,0.11653706841773698,0.06891932041079875,0.047092268807952635,0.056072256173256375,0.07719375576067972,0.037645002005906814,0.040307534392455865,0.0437184413226796,0.0341871490817665,0.05927190710100759,0.03861507667436097,0.025187965409740408,0.024874525540335254,0.011581964743611017,0.0186837029295041,0.006054703147990689,0.00829915142901854,0.0047857874887450745,0.00692401333279713,0.010971737620246051,0.006982565575808869,0.007985252901393325,0.007707952107631567,0.003612382838401813,0.010019195886303012,0.005497174202590196,0.006266430684536166,0.008095530235886706,0.005146721803341777,0.0015915627648625567,0.0
lightgbm,global,0.5263307838200534,0.27393512045943774,0.2597958732036556,0.19380485439027118,0.12156101047196169,0.13264568078237504,0.04124917913868858,0.05089586226493453,0.06933344564710354,0.07466558332716741,0.04969226965201026,0.06953509274779965,0.07593476951325082,0.039365375846052084,0.022484243284902908,0.028781923247004997,0.04870716645753108,0.005675926327419784,0.006598629973386434,0.04046379483995417,0.006160312125537746,0.004143199139531102,0.01445309038593367,0.005916614227640332,0.029387503736195905,0.010357842247972667,0.003047598445996634,0.02027005996047184,0.0016482676840503094,0.020784608381502596,0.0033686325723670824,0.01226900455256832,0.0053415564818568234,0.007313933172408091,0.004849316440081018,0.0
lightgbm,zone_Cold_and_Very_Cold,0.06498240388562053,0.1284753830175348,0.17647196140289464,0.18803826912563737,0.06430106809337234,0.09929825397422734,0.04031184078623765,0.03391643259841083,0.08219955677363702,0.053443774252185834,0.029771428532441503,0.04678829645895104,0.07008532131128982,0.03659790672126514,0.01607870152235877,0.025239737664902378,0.034502839842801364,0.006372257910142742,0.007645786434205912,0.03663584411097353,0.00646508260549306,0.0035781364486782243,0.009899348692484725,0.003050930278019676,0.015386153842564384,0.012183594196537261,0.003186755862173421,0.01825141119198684,0.0019907178703993766,0.0110442623469089,0.005174948082095655,0.008477059893121587,0.010769740145599041,0.020351594525759572,0.00412947030330456,0.0011270366528703126
lightgbm,zone_Hot-Dry,0.3579730189102396,0.06849306942024322,0.3524297890799637,0.17421680986670293,0.03500220441629159,0.15646237397376764,0.10019802834632975,0.11131377593224362,0.03778423428280013,0.08699095520933552,0.044172820966004486,0.1477451857094683,0.09268554750577987,0.054939731790950096,0.04267899250383754,0.04264399789988601,0.08793154758011856,0.013815265215794535,0.010968868737777252,0.016742925613691378,0.016994585095212848,0.009419577502863203,0.02017757648715581,0.00868805011937168,0.06362496795876679,0.010254488498558416,0.0,0.006833539046104573,0.013725462634495682,0.047390733289532784,0.011400407882989152,0.029633338267982406,0.0011550109978697173,0.0,0.004855590195172605,0.0
