field_name	field_location	data_type	units	field_description	allowable_enumeration
in.energy_code_followed_during_last_ext_lighting_replacement	metadata	string		Specifies the energy code used to determine exterior lighting power and controls	ComStock DEER 2011|ComStock DEER 2007|ComStock DEER 2015|ComStock DEER 2017|ComStock DOE Ref 1980-2004|ComStock DEER 1996|ComStock 90.1-2007|ComStock 90.1-2013|ComStock DEER 2014|ComStock 90.1-2004|ComStock DEER 1985|ComStock DEER 2003|ComStock 90.1-2010
in.energy_code_followed_during_last_hvac_replacement	metadata	string		Specifies the energy code used to determine HVAC system types, efficiencies, and controls	ComStock DOE Ref Pre-1980|ComStock DEER 2011|ComStock DEER 2007|ComStock DEER Pre-1975|ComStock DEER 2015|ComStock DEER 2017|ComStock DOE Ref 1980-2004|ComStock 90.1-2007|ComStock DEER 1996|ComStock 90.1-2013|ComStock DEER 2014|ComStock DEER 1985|ComStock 90.1-2004|ComStock 90.1-2010|ComStock DEER 2003
in.energy_code_followed_during_last_int_equipment_replacement	metadata	string		Specifies the energy code used to determine interior equipment loads	ComStock DEER 2011|ComStock DEER 2007|ComStock DEER 2015|ComStock DEER 2017|ComStock DOE Ref 1980-2004|ComStock 90.1-2007|ComStock DEER 1996|ComStock 90.1-2013|ComStock DEER 2014|ComStock 90.1-2004|ComStock DEER 1985|ComStock DEER 2003|ComStock 90.1-2010
in.energy_code_followed_during_last_roof_replacement	metadata	string		Specifies the energy code used to determine roof insulation values	ComStock DOE Ref Pre-1980|ComStock DEER 2011|ComStock DEER 2007|ComStock DEER Pre-1975|ComStock DEER 2015|ComStock DEER 2017|ComStock DOE Ref 1980-2004|ComStock 90.1-2007|ComStock DEER 1996|ComStock 90.1-2013|ComStock DEER 2014|ComStock 90.1-2004|ComStock DEER 1985|ComStock DEER 2003|ComStock 90.1-2010
in.energy_code_followed_during_last_svc_water_htg_replacement	metadata	string		Specifies the energy code used to determine service water heating efficiencies	ComStock DEER 2011|ComStock DEER Pre-1975|ComStock DEER 2007|ComStock DEER 2015|ComStock DEER 2017|ComStock DOE Ref 1980-2004|ComStock DEER 1996|ComStock 90.1-2007|ComStock 90.1-2013|ComStock DEER 2014|ComStock 90.1-2004|ComStock DEER 1985|ComStock 90.1-2010|ComStock DEER 2003
in.energy_code_followed_during_last_walls_replacement	metadata	string		Specifies the energy code used to determine wall insulation values	ComStock DEER 2011|ComStock DOE Ref Pre-1980|ComStock DEER 2007|ComStock DEER Pre-1975|ComStock DEER 2015|ComStock DOE Ref 1980-2004|ComStock DEER 2017|ComStock DEER 1996|ComStock 90.1-2007|ComStock DEER 2014|ComStock 90.1-2013|ComStock DEER 1985|ComStock 90.1-2004|ComStock 90.1-2010|ComStock DEER 2003
in.energy_code_followed_during_original_building_construction	metadata	string		Specifies the date of contruction of the modeled building which impacts the assumed energy code year of building subsystems	ComStock DOE Ref Pre-1980|ComStock DEER 2011|ComStock DEER 2007|ComStock DEER Pre-1975|ComStock DEER 2015|ComStock DOE Ref 1980-2004|ComStock DEER 2017|ComStock DEER 1996|ComStock 90.1-2007|ComStock 90.1-2013|ComStock DEER 2014|ComStock 90.1-2004|ComStock DEER 1985|ComStock 90.1-2010|ComStock DEER 2003
in.floor_area_category	metadata	string		Specifies the rentable area range of the building	_1000|over_1mil|500001_1mil
in.heating_fuel	metadata	string		Building primary HVAC heating fuel source	Electricity|NaturalGas|Propane|DistrictHeating|FuelOil
in.hvac_category	metadata	string		A basic categorization of HVAC system typologies	Other HVAC|Residential Style Central Systems|Multizone CAV/VAV|Small Packaged Unit|Zone-by-Zone
