model,scope,calculated_shd,in.comstock_building_type,in.state_name,infiltration_x_HDD,in.hvac_category,out.params.hdd50f,in.hvac_heat_type,out.params.hdd65f,ventilation_load_proxy,floor_area_m2,out.params.average_outdoor_air_fraction,HDD65_x_UA_per_area,UA_total,UA_per_area,in.window_to_wall_ratio_category,in.wall_construction_type,in.interior_lighting_generation,operating_hours_week,in.window_type,in.number_of_stories,in.year_built,in.building_subtype,infiltration_to_UA_ratio,in.weekday_opening_time..hr,in.rotation..degrees,in.weekend_opening_time..hr,is_very_cold
lightgbm,zone_Hot-Humid,0.07492443763543992,0.26122757015253933,0.05289595119946394,0.16772605950376385,0.20630076110897813,0.08810021112484628,0.2194463496758922,0.35664918902387444,0.3165651290968239,0.11133936139966678,0.16752708991513038,0.15908667862593162,0.02338335724029094,0.03648126300657385,0.04085736593911918,0.04960685405360874,0.04933227543361225,0.03682706167474914,0.02479422939309273,0.030576255562607766,0.02859556491592603,0.026221974119829884,0.009247722883093794,0.02003040931064113,0.02367110358625309,0.007391968282964311,0.0
lightgbm,zone_Marine,0.2275198765373794,0.15765916128999644,0.09447781775098162,0.06966063835163765,0.27823750657660007,0.03209430208593664,0.29661642158653895,0.06756778443474518,0.24026354134435948,0.07928252855718433,0.1365284695112778,0.025342478392015866,0.06133059318382247,0.013093831710516323,0.11418663749181657,0.020671883761190925,0.02775756295014983,0.03984861828988108,0.039601155462731095,0.020612910100608985,0.019556409598045266,0.013980478186912755,0.01307864174028713,0.008110939017757678,0.00922851115203321,0.007629963859704486,0.0
lightgbm,zone_Mixed-Dry,0.19856251290645208,0.15550326104051873,0.16389868883155403,0.16210566385447403,0.10848678266407405,0.15140014279156636,0.11545172425002644,0.056319919508066515,0.2813538306689581,0.13170473685204134,0.2000380511201917,0.026046374427652536,0.07992093959282374,0.039774329697851905,0.07056177089838218,0.018388903949783333,0.032637364366939106,0.045094004576656854,0.03194457164275516,0.013560006076983894,0.026184165134067926,0.014444571482755662,0.017674583717476947,0.01794237176872282,0.024045527393884908,0.016775661267082794,0.0
lightgbm,zone_Mixed-Humid,0.15369986595835322,0.32889728730336765,0.049594202126363444,0.1529705191317477,0.0895332460835677,0.06783544978057954,0.218423406851386,0.10761785551224497,0.19631673424731588,0.16726242009848136,0.1709073230441941,0.07711642806906586,0.021808713614163203,0.018005167964386407,0.0731886005739784,0.023145216231240513,0.03916369256852117,0.019314190078246547,0.03411712764171774,0.024630588640516957,0.02013282053399227,0.03291106093737924,0.007420259313111481,0.012676111945237373,0.00987809230024388,0.0010331949207206712,0.0
xgboost,global,0.15760698914527893,1.5612165071070194,2.1572390644578263,0.12809331715106964,0.8319714814424515,0.1139797493815422,1.315573469735682,0.14038512110710144,0.2304588109254837,0.12832066416740417,0.2900826632976532,0.07861591130495071,0.06258787959814072,0.06921794265508652,0.2154467524960637,0.0669828625395894,0.07759436103515327,0.05753915384411812,0.15106547717005014,0.02474803850054741,0.02881278283894062,0.15380378998816013,0.017366506159305573,0.030734164640307426,0.02293326146900654,0.019202424213290215,0.0
xgboost,zone_Cold_and_Very_Cold,0.14740949869155884,1.4145825519226491,1.6524386319797486,0.09169556200504303,0.3603949062526226,0.08202055096626282,0.9208610604982823,0.06581864506006241,0.10386636853218079,0.13902518153190613,0.10027157515287399,0.042595505714416504,0.030514199286699295,0.039907846599817276,0.1459293719381094,0.030760744179133326,0.06911013415083289,0.032353028655052185,0.12729615182615817,0.03231500834226608,0.012754714116454124,0.12145774578675628,0.007411439437419176,0.03214224800467491,0.020017072558403015,0.011595132760703564,0.013694149442017078
xgboost,zone_Hot-Dry,0.12941767275333405,0.9608746953308582,0.517473516985774,0.07792022079229355,0.9990223944187164,0.08609578013420105,1.2644354356452823,0.19299320876598358,0.1048390194773674,0.05314774066209793,0.17026524245738983,0.052017632871866226,0.05311227962374687,0.0440501905977726,0.17311487719416618,0.10661448840983212,0.15030904579907656,0.04457395151257515,0.1256843158043921,0.006581933703273535,0.03577111288905144,0.14484037715010345,0.011526561342179775,0.022074542939662933,0.017892034724354744,0.017873605713248253,0.0
xgboost,zone_Hot-Humid,0.03139720857143402,1.8422472848906182,0.17675915104337037,0.09957525134086609,0.4526113420724869,0.03359120339155197,1.2882873602211475,0.2809295356273651,0.3551073968410492,0.08080828189849854,0.16234293580055237,0.07110102474689484,0.1227780431509018,0.10122082382440567,0.09693978540599346,0.04007785953581333,0.09792684158310294,0.04987449571490288,0.11102443502750248,0.018159672617912292,0.01669326052069664,0.253180367173627,0.023465817794203758,0.030426330864429474,0.04528890177607536,0.007456121034920216,0.0
xgboost,zone_Marine,0.23003290593624115,0.171283330389997,0.09724810277111828,0.07414966821670532,0.27861766004934907,0.038526106625795364,0.31385796348331496,0.07207272201776505,0.24147474765777588,0.06944844871759415,0.1440138965845108,0.027180029079318047,0.06590663641691208,0.026922736316919327,0.1303179512033239,0.025673005264252424,0.03334669454488903,0.04659339785575867,0.05252979532815516,0.021841606125235558,0.02545134350657463,0.018227326188934967,0.01775570586323738,0.016260715201497078,0.013966348953545094,0.013776442967355251,0.0
xgboost,zone_Mixed-Dry,0.1839873194694519,0.14460574563781847,0.17605021316558123,0.17847830057144165,0.1024747840128839,0.14051635563373566,0.12343618180602789,0.04217470437288284,0.3017778694629669,0.1589992195367813,0.17628057301044464,0.03164391964673996,0.05770829692482948,0.038329556584358215,0.07560250675305724,0.022145962924696505,0.04337674437556416,0.054954174906015396,0.03549274749821052,0.018431279808282852,0.030105773359537125,0.025510417035548016,0.014928707852959633,0.019072342664003372,0.02448701299726963,0.023543057963252068,0.0
xgboost,zone_Mixed-Humid,0.17046107351779938,1.673836101545021,0.4060159237124026,0.11887656152248383,0.3642510063946247,0.09145250171422958,1.3696316862478852,0.05590091273188591,0.3084755837917328,0.15089300274848938,0.12099882960319519,0.06507135927677155,0.07694033533334732,0.045079637318849564,0.1732715154066682,0.04114255856256932,0.12374789919704199,0.04045920819044113,0.12250036530895159,0.05365575850009918,0.02208007127046585,0.20588545291684568,0.011276246048510075,0.02449178881943226,0.017701050266623497,0.01723393239080906,0.0
