model,scope,floor_area_ft2,average_heating_setpoint_max,hdd50f,comstock_building_type_group,wall_construction_type,hvac_combined_type,average_heating_setpoint_min,census_region_name,heating_setpoint_span_c,hvac_night_variability,year_built,comstock_building_type,average_outdoor_air_fraction,hvac_vent_type,window_to_wall_ratio,heating_fuel,aspect_ratio,hdd65f,boiler_average_efficiency,number_of_stories,floor_area_category,ashrae_iecc_climate_zone_2006,energy_code_followed_during_last_roof_replacement,hvac_system_type,floor_area_m2,energy_code_followed_during_last_hvac_replacement,hvac_heat_type,building_subtype,building_fraction_heated,operating_hours_week,weather_file_2018,cluster_id,window_type,weekday_operating_hours,cdd65f,average_window_shgc,weather_file_tmy3,energy_code_followed_during_last_walls_replacement,year_built_num,energy_code_followed_during_original_building_construction,window_to_wall_ratio_category,cambium_grid_region,hvac_category,census_division_name,county_name,hvac_cool_type,iso_rto_region,state,cluster_name,weekend_operating_hours,vintage,ownership_type,party_responsible_for_operation,purchase_input_responsibility,weekday_opening_time,weekend_opening_time,building_america_climate_zone,hours_heating_setpoint_not_met,is_missing__weekday_operating_hours,is_missing__weekend_operating_hours,is_missing__average_heating_setpoint_max,is_missing__average_heating_setpoint_min,is_missing__hdd65f,is_missing__hvac_system_type,is_missing__window_type,is_missing__weekday_operating_hours..hr,is_missing__weekend_operating_hours..hr,is_missing__average_heating_setpoint_max..c,is_missing__average_heating_setpoint_m.c,is_missing__hours_heating_setpoint_not_met
LightGBM,Hot_Dry,0.14734337199199757,0.1315323461212352,0.11542226479576448,0.07206733486930213,0.04173358790091663,0.031072338202360793,0.17291012056224622,0.00041220703010636547,0.017373350660442485,0.06852393500945528,0.017171456942645883,0.1313330175856896,0.11838758702191134,0.07172041371032215,0.03480539625731935,0.01788304735165008,0.027100379081098226,0.31634289766408397,0.1455197097201459,0.009905916858081905,0.00608587481676152,0.0007808272113595143,0.005629273522262634,0.1249452787809359,0.027823266580463392,0.046991266609923345,0.08767261573310534,0.016839048396856238,2.5614839268964715e-05,0.0,0.006341099944940684,0.16682769317097315,0.010123989383707049,0.0,0.028298583917358035,0.017961240433101825,0.010022304336615915,0.0022376393461260333,0.002608318940278002,0.01803081343220024,0.020624300408241574,0.07607605400966717,0.17601961984371628,0.0030535187488652075,0.00934170020204169,0.02509765966315245,0.0035831407611707066,0.005403363925048164,0.009198923818279425,0.0018476781970670885,0.002828643078018448,0.0032064891394174995,0.001141575379296965,0.0009258372138279912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stacking,Hot_Dry,0.41543207202438176,0.4384669273085439,0.33741975873879304,0.2680229822318724,0.030122270747773527,0.08260581598909379,0.43335076862674293,0.02712404534801992,0.05949271761277179,0.19914545012325957,0.046915436487553225,0.5221976834789116,0.3089599761384614,0.10648200573150715,0.08363600702553928,0.07781030297521473,0.041842189008785675,1.1366554565464941,0.9947155988847136,0.02841348964511069,0.03912967853397549,0.052007113206990994,0.02418347590848072,0.23566818855781246,0.06459241883543716,0.1422852684694606,0.22881282519613438,0.05692450759437223,0.0,0.030828855719592117,0.04075750294503302,0.2512338945156027,0.042528553888318534,0.03421655566431572,0.03948702127628722,0.03544762505409042,0.03361060610210257,0.04903293574681458,0.01397053554339681,0.03513395678401834,0.05343339215975209,0.23635591294592953,1.567279354407756,0.08291598540456098,0.037655422362903444,0.04826420832568872,0.02791533103050722,0.0584666250570202,0.09462452504794581,0.024849397439052092,0.03373112597134062,0.029336011514811508,0.02402742710187416,0.020187523326808853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,Hot_Humid,0.2517868186096351,0.17777286278013077,0.16181027028878903,0.1987010684780828,0.06961989780125537,0.037830346387361005,0.06339608447796752,0.0005129674669853194,0.052199162755152524,0.06727433747982095,0.02391618791821667,0.14513472907136063,0.13118371945904964,0.025201447937797,0.023443141620642878,0.032987757649530214,0.021470230452304593,0.43433131667267305,0.050153453241150794,0.040482664089304475,0.010159670728316047,0.038277896605590715,0.013126358741220336,0.03593538905418014,0.0582870931403895,0.023081862034556446,0.09882972344249748,0.03876651871134602,0.005476489251668295,0.005167464950051447,0.012116168116382362,0.011209407753025489,0.0059434016703224755,0.004701362855479387,0.01797492725861758,0.006111081116976708,0.0070217947280003966,0.015732508452299208,0.003065801174334977,0.005272199218192677,0.0013716755928742952,0.002675145625452528,0.10543169428556672,0.0006720359229532188,0.011090987619702716,0.011491252905811536,0.0004022902141745814,0.021934786325653665,0.005891857770078679,0.0017461742954373643,0.002527910617627702,0.0007165221651599055,0.0014729454110208981,0.0005265166757335104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CatBoost,Hot_Humid,0.11515762121973551,0.1855040158556292,0.17414820928137376,0.18308697179527142,0.07125998530963872,0.0375095920255882,0.04232252114769599,0.0009296866538810493,0.07489672327015301,0.07747491402412762,0.009429367490735746,0.13143998804480608,0.13231826063614288,0.0516347972036007,0.02176800408717028,0.042556409023369726,0.018579711399082825,0.20557308743273467,0.04855066640602602,0.04267387299474368,0.00957819359137948,0.10255938163407903,0.010072819253926819,0.028693311765543208,0.171469108333868,0.017625192104410197,0.10261621346495964,0.05175246252160654,0.006016273874492211,0.00886960493393537,0.03623741768987796,0.006414533594308198,0.007949636423442022,0.007313221104288954,0.10749403634936895,0.010948944470564844,0.006477329613980108,0.008166203383114074,0.005611406392849571,0.009156817650490007,0.0034068512625052582,0.008824768816402387,0.04752939266593092,0.02223344718314299,0.02372863929064595,0.009522896063698945,0.017038129826525972,0.03815638461983622,0.010328624709964396,0.00429598203728249,0.005167559599630912,0.0013923806687299372,0.0017882545161540884,0.0009777667250107413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,Hot_Humid,0.27102533502474296,0.17505473926723789,0.10420491917378541,0.173952260699475,0.07104777053275828,0.02780202923527828,0.06640072195252768,0.0009757834669190205,0.04134820809686754,0.056867319833340896,0.019402721334825387,0.14443744063758568,0.15213790677751213,0.03228614495385061,0.01802033912434171,0.039826168658484075,0.02753345729378779,0.520569655293138,0.03925897535055413,0.04092115603238786,0.009560584180631044,0.039184502002601054,0.013755177869200374,0.05122793945437472,0.0263849632827966,0.019534659165867194,0.09829289977993588,0.03593438938022227,0.0025757277509182845,0.0033244529527885567,0.015961298861089924,0.01701504131993718,0.007670572809651507,0.001819648999301789,0.023237561913341635,0.011666205857782622,0.011598306726174934,0.015598213834686415,0.003609985762578797,0.006169309958740788,0.0030020348506764453,0.0021898003324592463,0.0931402682605768,0.0007960276972477463,0.009901661541144677,0.009889139749246002,0.0011492929077002115,0.010655553730906368,0.007775433593632946,0.0030832560681282126,0.003870271537509414,0.0022420268394321317,0.0012769140229932784,0.0018046357862184141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stacking,Hot_Humid,1.6999713811944568,1.5565579470392392,1.0976345405985386,3.2744884579987406,0.2714569279765748,0.19828512842604584,0.2712140567164942,0.0,0.16149913470933683,1.112695849696256,0.12343212040691814,1.3264871840823753,1.5580593946809316,0.25063170163426796,0.14943965007535606,0.28101466334326003,0.14539875198819593,2.1896076555348385,0.4094268160217702,0.15398386586182913,0.07466872067052882,0.5472241604999571,0.07397284230380577,0.12869772263090512,1.1973745221320602,0.18000343168853508,0.6749795028856697,0.26139094657006906,0.15181607308009298,0.030719075508358364,0.0644473923511743,0.04792689693559164,0.08752916879134841,0.09804345199624058,0.23928278297778469,0.053270199814726,0.04721996548343932,0.08066752252358661,0.05302872153501469,0.10088176283002123,0.0848979533640235,0.14119290112163885,0.3073310125152327,0.09800160785226952,0.08683556976813504,0.05138326480903776,0.08081114928018643,0.0915496199235264,0.08284795076240718,0.1709360558808979,0.031175220749366357,0.03640219697799412,0.03948407785612039,0.0838970291851847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,Marine,0.2430508748323383,0.28378167267758136,0.08902889521787508,0.10679132004849752,0.06659574407072533,0.044581660964199764,0.13647684893076983,0.0,0.03765193424016825,0.06871712010940793,0.01710926958393538,0.1347092590593586,0.1188691279739573,0.014863702178993554,0.03215732251127152,0.027866430983051048,0.02528758718884368,0.1061093059933205,0.13083595940861628,0.03165542998318518,0.02864669926526102,0.001187333760648035,0.0068417869758969335,0.08174291165915089,0.02245511556798594,0.04918978064543889,0.14799464755478195,0.006640108106870636,0.0065508356191333545,0.002545141690729508,0.011325232309442088,0.01261364590790278,0.010070113411838687,0.0017413375394817545,0.011396047845819431,0.01570147530951257,0.005145838885870106,0.0011446434098617481,0.018285452126658882,0.054298339175266254,0.008770262540401466,0.00012751398149644938,0.1881042926471195,0.0,0.03099359876192158,0.006307803593809947,0.00399962723537457,0.012946847865545992,0.032748945940089355,0.003922063619086264,0.001989150200903169,0.0014416939840943069,0.0053530294672565065,0.0014593574942407587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CatBoost,Marine,0.10493417093628638,0.25809015637076516,0.07860401384496479,0.11467111351700016,0.05157828844106852,0.02914235041942889,0.11807558351806338,0.0,0.05157320931334198,0.08703090962811982,0.019268257745459032,0.08149100189964666,0.08341274616473555,0.06616758934936293,0.027203421295788226,0.057251285252890805,0.028529703154277504,0.08038546097675513,0.1024110612775856,0.031715606951458794,0.019662032619083575,0.017472305704877376,0.007951503341122388,0.045410294552879885,0.11115309313850195,0.04552037795466813,0.09089755779546237,0.011336482244183778,0.0028016297922954965,0.01569550200001527,0.012073729710570734,0.010069328290083578,0.0114224285008541,0.017924058433205377,0.014760152078048656,0.016590463261892095,0.01163347438800105,0.011240626812489695,0.01129822734763275,0.011816558432615898,0.017111982553884308,0.004161020256094894,0.11473453317060185,0.0,0.025806543373078708,0.038422227654269885,0.008571817919070778,0.012291734612200875,0.0536879724535908,0.006925158170787078,0.003499173241953957,0.0019785036503035,0.0031318052794436706,0.0014099554050776377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,Marine,0.22720200154256523,0.27921177846191747,0.0992031160578381,0.10323222257963159,0.06231315919158519,0.02694251743770082,0.15739977244829004,0.0,0.026655681652797584,0.06393811445334435,0.026631062088173264,0.11619254427124073,0.10728217540834344,0.04477879206985274,0.032666965451818956,0.029558954763730286,0.035692516433562256,0.11909781505311227,0.10766721299903471,0.03106877211196372,0.02771480216957634,7.178310263057917e-05,0.006943976347256121,0.13783647391717996,0.028041014351160503,0.048463095036989555,0.13523845141980517,0.011052959974830842,0.000909510933189813,0.0,0.01450150398919494,0.01595846059430123,0.011912784932108922,0.0017335985986360357,0.015460207615714153,0.013420583881128382,0.017793083886944457,0.0016834016799470485,0.012743601139142373,0.05060640963682187,0.00891718773391218,0.0,0.19922712494873543,0.0,0.04265596628905437,0.004127990422736801,0.001963947424228007,0.0025306838110902233,0.030689870491531216,0.00436231676248434,0.0037410002457852827,0.0033924265885673017,0.005562066269625343,0.002349741749899561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stacking,Marine,8.2405234599579,13.460509808114075,2.784358107512623,7.704539589897281,1.664453133509854,1.3253033675738504,7.576334624045696,0.0,1.863832207649621,5.1377137537527915,0.7860188128203053,4.581018152251453,3.6718630095991016,4.6295956696945515,0.8792046824858359,1.770601231180832,0.7667023823384078,4.723791822603448,8.398634005943883,0.6585668312209125,0.8800805397562843,0.44096540877183665,0.5623692627370204,3.2678078350316473,5.505991487588351,2.0776293935435324,3.3488273107922693,0.474409773147216,0.30445693394574436,0.474508168816739,0.3620896263319376,0.23429115120978686,0.702132977961217,0.5966418076494499,0.824673791393412,0.5166562384046895,0.45783754854589886,0.612250410323989,0.5039721171543714,1.0186514407564171,0.836312094316843,0.4829147716311729,11.738016742953237,0.0,1.2997421841118082,1.5619475112234307,0.4271544386093651,0.5158267454822099,2.526994395018189,0.5795586109634899,0.5146831793558647,0.5705714358107506,0.4572559864891694,0.235734352677067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
