zone,rows_total,rows_test,mae,rmse,r2,medae,explained_variance,mape_percent,smape_percent
Hot-Humid,94057,18812,2.10404805463137,4.332365748102838,0.9733251757972801,0.8352112478289062,0.9733270488657163,22.03425717333449,19.776789335286477
Hot-Dry,53597,10720,3.716917314889897,8.883636635180663,0.901892603368796,1.2561270470431534,0.9020588159172903,50.94728223351554,32.96565403364251
Mixed-Humid,164253,32851,6.201652679527197,10.093878758941651,0.9826382623012416,3.5870914911952863,0.982640197485587,9.906563742893137,9.190798440043286
Marine,26837,5368,7.162914207128169,12.11795968863039,0.9479300530479132,3.9417827175636617,0.948037500437238,38.44167956355502,24.298950059802557
Cold,176132,35227,9.166053194305592,13.579675125738516,0.9782567080338683,6.18402807944878,0.9782625363708013,8.374173552635435,7.782359117635925
Mixed-Dry,3915,783,14.190227144500748,23.715441528901117,0.8897571461683423,7.659073112274427,0.8897628998028959,30.09982095632826,21.6513493162066
Very Cold,4358,872,22.607866740945745,32.81713426072015,0.9036062932785065,15.703685690241514,0.9038448261055213,20.232314606041403,14.256173183546503
